JUJUY;SAN SALVADOR DE JUJUY;53219;727780;;JUJEÑO/A;http://www.jujuy.gov.ar/;38;38;-23,75;-65,5;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>38</Literal></PropertyIsEqualTo></Filter>;673307;164974;106194;66465;145190;174630;165402;174630;195785;19719;35308;15589;26999;11696
CHACO;RESISTENCIA;99633;1143201;;CHAQUEÑO/A;http://www.chaco.gov.ar/;22;22;-27,451389;-58,986667;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>22</Literal></PropertyIsEqualTo></Filter>;1055259;220748;76107;0;236869;288422;265142;288422;312602;18289;41306;23017;52363;20664
BUENOS AIRES;LA PLATA;307571;15355000;;BONAERENSE;https://www.gba.gob.ar/;6;6;-36,157222;-60,569722;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>06</Literal></PropertyIsEqualTo></Filter>;15625084;3596587;2278609;3110444;4619142;4789484;4706226;4789484;5377786;364291;561401;197110;390171;172325
SANTA FE;SANTA FE;133007;3397532;;SANTAFESINO/A;http://www.santafe.gov.ar/;82;82;-33,722778;-62,246111;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>82</Literal></PropertyIsEqualTo></Filter>;3194537;864206;514822;493602;981493;1023777;1006481;1023777;1143651;75408;103815;28407;65733;32842
CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;203;2890151;;PORTEÑO/A;https://www.buenosaires.gob.ar/;2;2;-34,599722;-58,381944;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>02</Literal></PropertyIsEqualTo></Filter>;2890151;1145483;1128920;1060248;1119666;1150134;1140209;1150134;1423973;67136;118615;51479;68776;17639
RÍO NEGRO;VIEDMA;203013;638645;;RIONEGRINO/A;http://www.rionegro.gov.ar/;62;62;-40,8;-63;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>62</Literal></PropertyIsEqualTo></Filter>;638645;183359;121677;161359;187027;199189;193389;199189;236609;8592;17001;8409;18771;8153
SAN JUAN;SAN JUAN;89651;738959;;SANJUANINO/A;http://www.sanjuan.gov.ar/;70;70;-30,87;-68,98;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>70</Literal></PropertyIsEqualTo></Filter>;681055;165174;52253;89633;165229;177155;170664;177155;188655;14951;29441;14490;18124;9306
CHUBUT;;224686;577466;;CHUBUTENSE;http://www.chubut.gov.ar/;26;26;-43,3;-65,1;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>26</Literal></PropertyIsEqualTo></Filter>;509108;151447;122121;138097;147882;157166;153329;157166;177985;9990;15492;5502;13269;6189
SANTA CRUZ;RIO GALLEGOS;243943;273964;;SANCRUCEÑO/A;http://www.santacruz.gov.ar/;78;78;-48,823889;-69,815;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>78</Literal></PropertyIsEqualTo></Filter>;273964;79491;67423;77386;77458;81796;80282;81796;93881;5563;8814;3251;6745;2977
FORMOSA;FORMOSA;72066;527895;;FORMOSEÑO/A;http://www.formosa.gov.ar/;34;34;-23,755783081;-58,175;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>34</Literal></PropertyIsEqualTo></Filter>;530162;107779;44129;0;110842;140303;128584;140303;154458;10169;27868;17699;27681;13381
MISIONES;POSADAS;29801;1189446;;MISIONERO/A;http://www.misiones.gov.ar/;54;54;-26,92;-54,52;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>54</Literal></PropertyIsEqualTo></Filter>;1101593;217858;56283;0;256128;302953;285156;302953;330049;12690;37670;24980;47344;13198
SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;136351;896461;;SANTIAGUEÑO/A;http://www.sde.gov.ar/;86;86;-27,783333;-64,266667;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>86</Literal></PropertyIsEqualTo></Filter>;874006;165350;47704;46165;179365;218025;197565;218025;242034;20119;46931;26812;38452;16509
MENDOZA;CAPITAL;148827;1886000;;MENDOCINO/A;http://http//www.mendoza.gov.ar/;50;50;-32,890278;-68,847222;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>50</Literal></PropertyIsEqualTo></Filter>;1738929;447752;312446;329565;469895;494841;481072;494841;538056;35291;49108;13817;37634;18637
LA PAMPA;SANTA ROSA;143440;349299;;PAMPEANO/A;http://www.lapampa.gov.ar/;42;42;-36,616667;-64,283333;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>42</Literal></PropertyIsEqualTo></Filter>;318951;93772;63572;91838;105007;107674;106683;106683;133186;2877;4140;1263;4086;1837
CATAMARCA;SAN FERNANDO DEL VALLE DE CATAMARCA;102602;396895;;CATAMARQUEÑO/A;http://www.catamarca.gov.ar/;10;10;-28,466667;-65,783333;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>10</Literal></PropertyIsEqualTo></Filter>;367828;89413;42643;17942;86811;96001;91325;96001;113634;6625;10062;3437;10871;4991
SALTA;SALTA;155488;1333365;;SALTEÑO/A;http://www.salta.gov.ar/;66;66;-24,783333;-65,416667;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>66</Literal></PropertyIsEqualTo></Filter>;1214441;273466;186151;125294;244901;299794;280158;299794;315186;32719;66813;34094;58221;26705
TUCUMÁN;SAN MIGUEL DE TUCUMAN;22524;1687305;;TUCUMANO/A;http://www.tucuman.gov.ar/;90;90;-27;-65,5;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>90</Literal></PropertyIsEqualTo></Filter>;1687305;36694;34769;35280;37167;38956;38430;38956;396429;2267;6943;4676;5533;918
SAN LUIS;SAN LUIS;76748;489255;;PUNTANO/A;http://www.sanluis.gov.ar/;74;74;-33,3;-66,35;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>74</Literal></PropertyIsEqualTo></Filter>;432310;119989;76407;67437;119121;126922;123693;126922;142049;9156;12271;3115;9980;4948
LA RIOJA;CAPITAL;89680;387728;;RIOJANO/A;http://www.larioja.gov.ar/;46;46;-29,433333;-66,85;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>46</Literal></PropertyIsEqualTo></Filter>;333642;85399;46569;12446;82490;91097;87380;91097;108967;4730;9418;4688;11159;5146
CORRIENTES;CORRIENTES;88199;992595;;CORRENTINO/A;https://www.corrientes.gob.ar/;18;18;-28,66;-57,63;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>18</Literal></PropertyIsEqualTo></Filter>;992595;233269;142966;0;231869;267797;255296;267797;292644;18953;45212;26259;40386;17129
CÓRDOBA;CORDOBA;165321;3567654;;CORDOBES/ESA;http://www.cba.gov.ar/;14;14;-32;-64;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>14</Literal></PropertyIsEqualTo></Filter>;3308876;947774;395433;523012;993505;1031843;1014026;1031843;1232211;53290;69708;16418;61899;32982
ENTRE RÍOS;PARANA;78781;1235994;;ENTRERRIANO/A;http://www.entrerios.gov.ar/;30;30;-32,0477;-60,281;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>30</Literal></PropertyIsEqualTo></Filter>;1235994;338959;261923;96638;354453;375121;367663;375121;425591;17871;31478;13607;30150;14405
TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR;USHUAIA;21571;160720;;FUEGUINO/A;http://www.tierradelfuego.gov.ar/;94;94;-54,362;-67,638;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>94</Literal></PropertyIsEqualTo></Filter>;160720;9509;23559;4870;3377;96667;26958;1201;38956;1994;90;1412;14510;0
NEUQUÉN;NEUQUEN;94078;637913;;NEUQUINO/A;http://www.neuquen.gov.ar/;58;58;-38,951667;-68,074444;https://gis.obraspublicas.gob.ar/layers/public_wxs/;paisprov2012;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>58</Literal></PropertyIsEqualTo></Filter>;551266;159198;122660;144184;159463;170057;165038;170057;193733;10755;18976;8221;17629;7787
